16:35:28.358 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:28.576 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:28.795 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:29.012 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:29.230 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:29.449 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:29.667 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:29.885 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:30.103 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:30.320 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:30.538 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:30.772 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:30.992 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:31.213 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:31.429 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:31.662 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:31.880 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:32.097 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:32.315 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:32.533 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:32.754 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:32.973 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:33.191 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:33.409 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:33.627 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:33.844 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:34.061 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:34.281 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:34.498 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:34.717 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:34.936 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:35.156 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:35.374 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
